Short Name,Long Name,Global ID
267,02.West.700,1EcnkFUEX4Ghhefn8c6745
268,02.West.800,1EcnkFUEX4Ghhefn8c6744
269,02.West.802,1EcnkFUEX4Ghhefn8c6747
270,02.West.806,1EcnkFUEX4Ghhefn8c6746
271,02.West.808,1EcnkFUEX4Ghhefn8c674v
272,02.West.852,1EcnkFUEX4Ghhefn8c674u
273,02.West.854,1EcnkFUEX4Ghhefn8c674x
274,02.West.859,1EcnkFUEX4Ghhefn8c674w
275,02.West.863,1EcnkFUEX4Ghhefn8c674z
291,BG.Mid.010,1EcnkFUEX4Ghhefn8c674j
292,BG.Mid.020,1EcnkFUEX4Ghhefn8c674i
293,BG.Mid.030,1EcnkFUEX4Ghhefn8c674l
294,BG.Mid.050,1EcnkFUEX4Ghhefn8c674k
295,BG.Mid.060,1EcnkFUEX4Ghhefn8c674X
296,BG.Mid.080,1EcnkFUEX4Ghhefn8c674W
297,BG.Mid.110,1EcnkFUEX4Ghhefn8c674Z
298,BG.Mid.120,1EcnkFUEX4Ghhefn8c674Y
299,BG.Mid.130,1EcnkFUEX4Ghhefn8c674b
300,BG.Mid.140,1EcnkFUEX4Ghhefn8c674a
301,BG.Mid.801,1EcnkFUEX4Ghhefn8c674d
302,BG.Mid.802,1EcnkFUEX4Ghhefn8c674c
303,BG.Mid.803,1EcnkFUEX4Ghhefn8c677P
304,BG.Mid.804,1EcnkFUEX4Ghhefn8c677O
305,BG.Mid.852,1EcnkFUEX4Ghhefn8c677R
306,BG.Mid.853,1EcnkFUEX4Ghhefn8c677Q
307,BG.Mid.856,1EcnkFUEX4Ghhefn8c677T
308,BG.oost 010,1EcnkFUEX4Ghhefn8c677S
309,BG.Oost 809,1EcnkFUEX4Ghhefn8c677V
310,BG.Oost.010,1EcnkFUEX4Ghhefn8c677U
311,BG.Oost.050,1EcnkFUEX4Ghhefn8c677H
312,BG.Oost.060,1EcnkFUEX4Ghhefn8c677G
313,BG.Oost.070,1EcnkFUEX4Ghhefn8c677J
314,BG.Oost.080,1EcnkFUEX4Ghhefn8c677I
315,BG.Oost.090,1EcnkFUEX4Ghhefn8c677L
316,BG.Oost.110,1EcnkFUEX4Ghhefn8c677K
317,BG.Oost.150,1EcnkFUEX4Ghhefn8c677N
318,BG.Oost.170,1EcnkFUEX4Ghhefn8c677M
319,BG.Oost.180,1EcnkFUEX4Ghhefn8c6779
320,BG.Oost.190,1EcnkFUEX4Ghhefn8c6778
321,BG.Oost.210,1EcnkFUEX4Ghhefn8c677B
322,BG.Oost.220,1EcnkFUEX4Ghhefn8c677A
323,BG.Oost.240,1EcnkFUEX4Ghhefn8c677D
324,BG.Oost.250,1EcnkFUEX4Ghhefn8c677C
325,BG.Oost.251,1EcnkFUEX4Ghhefn8c677F
326,BG.Oost.310,1EcnkFUEX4Ghhefn8c677E
327,BG.Oost.320,1EcnkFUEX4Ghhefn8c6771
328,BG.Oost.321,1EcnkFUEX4Ghhefn8c6770
329,BG.Oost.330,1EcnkFUEX4Ghhefn8c6773
330,BG.Oost.350,1EcnkFUEX4Ghhefn8c6772
331,BG.Oost.370,1EcnkFUEX4Ghhefn8c6775
332,BG.Oost.410,1EcnkFUEX4Ghhefn8c6774
333,BG.Oost.430,1EcnkFUEX4Ghhefn8c6777
334,BG.Oost.450,1EcnkFUEX4Ghhefn8c6776
335,BG.Oost.470,1EcnkFUEX4Ghhefn8c677v
336,BG.Oost.490,1EcnkFUEX4Ghhefn8c677u
337,BG.Oost.500,1EcnkFUEX4Ghhefn8c677x
338,BG.Oost.510,1EcnkFUEX4Ghhefn8c677w
339,BG.Oost.530,1EcnkFUEX4Ghhefn8c677z
340,BG.Oost.550,1EcnkFUEX4Ghhefn8c677y
341,BG.Oost.560,1EcnkFUEX4Ghhefn8c677$
342,BG.Oost.600,1EcnkFUEX4Ghhefn8c677_
343,BG.Oost.620,1EcnkFUEX4Ghhefn8c677n
344,BG.Oost.700,1EcnkFUEX4Ghhefn8c677m
